18
39
1 2 3
1 3 1
1 7 3
1 8 3
2 6 4
2 5 1
2 4 1
3 4 1
3 8 3
4 5 2
4 9 3
4 8 3
5 6 3
5 9 3
6 9 3
6 10 3
6 11 3
7 8 1
7 13 1
7 12 1
8 9 1
8 13 1
9 10 3
9 14 2
9 13 2
10 11 2
10 15 2
11 16 2
11 15 2
12 13 1
12 17 2
13 14 3
13 17 2
14 17 4
14 15 1
14 18 1
15 16 1
15 18 1
16 18 1
1
1

18
39
1 2 3
1 3 1
1 7 3
1 8 3
2 6 4
2 5 1
2 4 1
3 4 1
3 8 3
4 5 2
4 9 3
4 8 3
5 6 3
5 9 3
6 9 3
6 10 3
6 11 3
7 8 1
7 13 1
7 12 1
8 9 1
8 13 1
9 10 3
9 14 2
9 13 2
10 11 2
10 15 2
11 16 2
11 15 2
12 13 1
12 17 2
13 14 3
13 17 2
14 17 4
14 15 1
14 18 1
15 16 1
15 18 1
16 18 1
4
13
15
9
4

25
63
1 2 2
1 20 1
1 13 5
1 12 4
2 20 2
2 26 1
2 19 2
2 3 2
3 19 2
3 4 3
4 19 3
4 5 3
4 18 3
4 21 7
5 18 4
5 22 4
5 16 5
5 6 2
5 17 1
6 17 2
6 7 4
6 16 5
7 16 1
7 8 2
8 16 1
8 9 3
9 16 2
9 15 2
9 10 3
10 15 3
10 14 2
10 11 3
11 14 2
11 23 2
11 12 4
12 23 2
12 13 1
13 20 2
13 24 1
13 21 3
13 14 1
13 23 1
14 21 3
14 15 2
14 23 1
15 21 3
15 16 1
16 21 4
16 22 2
16 17 4
18 22 1
18 21 3
19 26 1
19 20 2
19 25 1
19 21 4
20 26 1
20 25 1
20 21 3
20 24 1
21 22 2
21 25 2
21 24 1
4
12
26
17
9

25
63
1 2 2
1 20 1
1 13 5
1 12 4
2 20 2
2 26 1
2 19 2
2 3 2
3 19 2
3 4 3
4 19 3
4 5 3
4 18 3
4 21 7
5 18 4
5 22 4
5 16 5
5 6 2
5 17 1
6 17 2
6 7 4
6 16 5
7 16 1
7 8 2
8 16 1
8 9 3
9 16 2
9 15 2
9 10 3
10 15 3
10 14 2
10 11 3
11 14 2
11 23 2
11 12 4
12 23 2
12 13 1
13 20 2
13 24 1
13 21 3
13 14 1
13 23 1
14 21 3
14 15 2
14 23 1
15 21 3
15 16 1
16 21 4
16 22 2
16 17 4
18 22 1
18 21 3
19 26 1
19 20 2
19 25 1
19 21 4
20 26 1
20 25 1
20 21 3
20 24 1
21 22 2
21 25 2
21 24 1
4
14
25
22
21
